Stability configuration: 16 slices, 500 measurements, 32 channels

Stability SI results:

slice#	min	max	mean	sd	sd[%]	P2P[%]
 1	426.39	427.86	427.16	0.262	0.061	0.344
 2	437.50	438.74	438.09	0.246	0.056	0.283
 3	446.85	448.21	447.58	0.239	0.053	0.305
 4	457.10	458.37	457.75	0.244	0.053	0.278
 5	467.23	468.39	467.81	0.232	0.050	0.248
 6	477.16	478.36	477.76	0.225	0.047	0.251
 7	486.28	487.57	486.86	0.228	0.047	0.266
 8	494.38	495.57	495.01	0.210	0.043	0.242
 9	501.96	503.02	502.46	0.210	0.042	0.210
10	510.11	511.25	510.63	0.210	0.041	0.222
11	521.03	522.17	521.57	0.213	0.041	0.219
12	536.52	537.63	537.05	0.205	0.038	0.207
13	557.44	558.64	558.01	0.203	0.036	0.214
14	584.07	585.21	584.65	0.197	0.034	0.195
15	618.57	619.69	619.19	0.193	0.031	0.182
16	666.69	667.95	667.34	0.206	0.031	0.188

